pmid,journal
40251434,Nature chemical biology
40169299,Trends in biochemical sciences
40031976,Nan fang yi ke da xue xue bao = Journal of Southern Medical University
39753706,Nature chemical biology
39682681,Cells
39667912,Cell proliferation
39550273,Science bulletin
39442525,Cell stem cell
39179093,European journal of pharmacology
38225741,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
37636590,Frontiers in cellular neuroscience
37625410,Cell stem cell
37550515,Nature cell biology
37224020,Cell reports
37192170,Proceedings of the National Academy of Sciences of the United States of America
37087579,Nan fang yi ke da xue xue bao = Journal of Southern Medical University
37028396,Cell stem cell
36944335,Cell stem cell
36726338,"Journal of cachexia, sarcopenia and muscle"
36595887,STAR protocols
36231108,Cells
36041647,Acta biomaterialia
35881538,"Hepatology (Baltimore, Md.)"
35689254,Experimental hematology & oncology
35418683,Nature
34324179,"Methods in molecular biology (Clifton, N.J.)"
33941255,Stem cell research & therapy
33649311,Cell discovery
32950197,Journal of endodontics
32376950,Nature
32084387,Stem cell reports
31588244,Theranostics
31231645,Frontiers in cell and developmental biology
28935668,The Journal of biological chemistry
28648365,Cell stem cell
27396343,Cell reports
27049670,Cell chemical biology
26704449,Cell research
26686652,Cell
26481520,Cell stem cell
23868920,"Science (New York, N.Y.)"
41666221,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
41098938,Regenerative therapy
41009497,International journal of molecular sciences
40354373,Aging and disease
40243729,International journal of molecular sciences
40220093,"Methods in molecular biology (Clifton, N.J.)"
39891467,Iranian biomedical journal
39697240,Bioactive materials
39463965,bioRxiv : the preprint server for biology
39348466,"Development (Cambridge, England)"
39282386,bioRxiv : the preprint server for biology
38825983,"Stem cells (Dayton, Ohio)"
38817352,Future science OA
38581069,Stem cell research & therapy
38327632,BioImpacts : BI
38322248,Frontiers in aging
38229180,Stem cell research & therapy
37996395,Journal of molecular cell biology
37961300,Research square
37903419,Canadian journal of physiology and pharmacology
37873209,bioRxiv : the preprint server for biology
37080451,Journal of molecular and cellular cardiology
36927767,Stem cell research & therapy
36847702,Journal of cosmetic dermatology
36581367,International journal of stem cells
36224763,Journal of microbiology and biotechnology
35918563,"Cell regeneration (London, England)"
35810486,Schizophrenia research
35739577,Stem cell research & therapy
35255219,Cellular reprogramming
35080746,Stem cell reviews and reports
34963331,Stem cells and development
34948246,International journal of molecular sciences
34685726,Cells
34576609,"Materials (Basel, Switzerland)"
34426962,Advances in experimental medicine and biology
34206355,Journal of cardiovascular development and disease
34180877,Journal of visualized experiments : JoVE
33757809,Experimental cell research
